"会社名","カテゴリー","電話番号","住所","webサイト"
"高井病院","総合病院、病院・療養所、眼科、外科、歯科口腔外科、耳鼻咽喉科、循環器内科、神経内科、心臓血管外科、整形外科、内科、脳神経外科、脳ドック、肺ドック、泌尿器科、皮膚科、放射線科、リハビリテーション科","(代) 0743-65-0372","奈良県天理市蔵之庄町４７０－８","http://www.takai-hp.com/index.html"
"田北病院","病院・療養所、外科、歯科口腔外科、人工透析内科、整形外科、内科、人間ドック、脳神経外科、脳ドック、泌尿器科、放射線科、リハビリテーション科","(代) 0743-54-0112","奈良県大和郡山市城南町２－１３",
"近畿大学奈良病院","総合病院、アレルギー科、眼科、形成外科、外科、呼吸器内科、産科、産婦人科、歯科、歯科口腔外科、耳鼻咽喉科、循環器内科、消化器外科、消化器内科、小児科、小児外科、心臓血管外科、整形外科、内科、脳神経外科、泌尿器科、皮膚科、美容外科、放射線科、リウマチ科、リハビリテーション、リハビリテーション科","(代) 0743-77-0880","奈良県生駒市乙田町１２４８－１","https://www.med.kindai.ac.jp/nara/"
"山の辺病院","外科、歯科、小児歯科、整形外科、内科、脳神経外科、皮膚科、リハビリテーション科","(代) 0744-45-1199","奈良県桜井市大字草川６０",
"山の辺病院","外科、歯科、小児歯科、整形外科、内科、脳神経外科、皮膚科、リハビリテーション科","(代) 0744-45-3551","奈良県桜井市大字草川６０",
"はしづめ歯科","歯科","(代) 0742-27-1881","奈良県奈良市角振町２８－２０１",
"氏井矯正歯科クリニック","矯正歯科、歯科","(代) 0742-23-4331","奈良県奈良市大宮町１丁目１－２８－２Ｆ－Ｃ","https://www.koyama-kyosei.com"
"阪奈中央病院","病院・療養所、眼科、外科、歯科、歯科口腔外科、小児科、神経内科、人工透析内科、整形外科、内科、脳神経外科、泌尿器科、皮膚科、放射線科、リハビリテーション科","(代) 0743-74-8660","奈良県生駒市俵口町７４１",
"あおのスマイル歯科","矯正歯科、歯科、歯科口腔外科、小児歯科","(代) 0745-55-6677","奈良県北葛城郡広陵町馬見中２丁目１５－３２","https://www.aonosmileshika.com/"
"奈良やすらぎ歯科","矯正歯科、歯科、歯科口腔外科、小児歯科","(代) 0742-20-0123","奈良県奈良市法蓮町１０８０－１","https://nara-yasuragi-dc.com/"
"ともだ歯科医院","歯科、歯科口腔外科、小児歯科"," 0743-78-9219","奈良県生駒市真弓４丁目４－２",
"西川歯科医院／在宅歯科医療部門","歯科"," 0742-81-7726","奈良県奈良市宝来１丁目９－３",
"正田歯科医院","歯科、歯科口腔外科、小児歯科"," 0744-24-4454","奈良県橿原市内膳町２丁目７－９","https://www.shoda-dc.com"
"ひろせ歯科クリニック","歯科、小児歯科、デンタルドック"," 0742-64-2800","奈良県奈良市神殿町２９７－２－２０１","http://www.hiroseshika.jp/"
"はしもと矯正専門歯科","矯正歯科、歯科"," 0745-71-4848","奈良県香芝市磯壁３丁目９４－１",
"ほし歯科医院","歯科、小児歯科"," 0745-31-7000","奈良県北葛城郡王寺町王寺２丁目９－１５","https://www.hoshi-shikaiin.com/"
"池尾小児歯科","小児歯科"," 0742-23-7489","奈良県奈良市登大路町４３－１１",
"福本歯科医院","歯科"," 0743-56-0102","奈良県大和郡山市昭和町６１",
"下辻歯科医院","矯正歯科、歯科、小児歯科"," 0745-22-4182","奈良県大和高田市大字根成柿３２３",
"あすか歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0744-48-0766","奈良県橿原市見瀬町５９７－６－１Ｆ",
"山本歯科医院","矯正歯科、歯科"," 0744-42-3110","奈良県桜井市大字大福７９","https://www.yamamotosika-nara.com/"
"おかだ歯科医院","歯科"," 0742-25-2070","奈良県奈良市紀寺町４１４－５",
"高田歯科医院","矯正歯科、歯科、小児歯科"," 0742-41-5218","奈良県奈良市富雄北１丁目３－５",
"つげファミリー歯科","歯科"," 0743-82-0418","奈良県奈良市都祁白石町１１０２",
"岡下矯正歯科","矯正歯科"," 0744-28-4183","奈良県橿原市石川町２８２－３",
"医療法人こじか歯科西大寺こじか歯科診療所","歯科、歯科口腔外科、小児歯科、デンタルドック"," 0742-51-1115","奈良県奈良市西大寺国見町２丁目１５－２８－１０１","http://www.kojika.or.jp/"
"福原歯科","歯科"," 0744-33-4518","奈良県磯城郡田原本町大字保津２１６－１",
"日髙デンタルクリニック","矯正歯科、歯科、小児歯科"," 0742-48-0866","奈良県奈良市富雄北３丁目１－１３",
"医療法人慈心会ヤスデンタルクリニック／本院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-48-0181","奈良県奈良市登美ヶ丘２丁目２－１７",
"エスエイ歯科医院アピタ大和郡山店","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-54-7855","奈良県大和郡山市田中町宮西５１７",
"しんたに歯科クリニック","歯科、歯科口腔外科、小児歯科"," 0744-26-6480","奈良県橿原市一町３２５－１",
"としかわ歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-71-4855","奈良県香芝市下田西４丁目１８７－１",
"名倉歯科医院","矯正歯科、歯科、小児歯科"," 0743-65-4567","奈良県天理市櫟本町１４２３－７","http://nttbj.itp.ne.jp/0743654567/"
"新大宮歯科医院","歯科、歯科口腔外科、小児歯科"," 0742-34-1995","奈良県奈良市大宮町６丁目９－１－１Ｆ－２","http://shinomiyashika.com/index.html"
"のぐち矯正歯科クリニック","矯正歯科"," 0743-51-1188","奈良県大和郡山市南郡山町５２０－１８","https://www.harubon.com/"
"ささき歯科","矯正歯科、歯科、小児歯科"," 0743-73-0070","奈良県生駒市俵口町４５４－１－１０１",
"ナカガワ歯科クリニック","歯科、小児歯科"," 0742-35-8787","奈良県奈良市大宮町４丁目２３５－１","http://www.nakagawa-haisha.com/"
"松岡歯科","歯科"," 0742-23-5522","奈良県奈良市高天町２２－２",
"川西歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0744-56-1060","奈良県高市郡高取町大字下土佐２２０－１","http://www.kawanishi-dc.com"
"藤本歯科医院さくら","歯科、小児歯科"," 0743-85-4396","奈良県天理市田部町２３",
"上田歯科医院","歯科、小児歯科"," 0744-42-6229","奈良県桜井市大字三輪３９４","https://www.uedashikaiinn-sakurai.net"
"あおば歯科クリニック","矯正歯科、歯科、小児歯科"," 0745-76-8600","奈良県香芝市旭ケ丘１丁目３０－３",
"らくじクリニック","外科、歯科、消化器内科、内科"," 0742-26-4165","奈良県奈良市南新町１９－１",
"アイデンタルクリニック","歯科、歯科口腔外科、小児歯科"," 0745-46-1182","奈良県生駒郡平群町菊美台１丁目１８－１１","http://www.i-dentalclinic.jp/"
"香芝ＫＮデンタルクリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-71-7001","奈良県香芝市上中１３２－１","http://www.kashiba-kn.com/"
"坂本歯科医院","歯科、歯科口腔外科、小児歯科"," 0744-32-0222","奈良県磯城郡田原本町旭町２３３－２",
"中島歯科医院","歯科"," 0743-62-0516","奈良県天理市西井戸堂町４３０－８",
"松田歯科医院","矯正歯科、歯科、歯科口腔外科"," 0745-82-0395","奈良県宇陀市榛原萩原２４３９－２","http://www.matsudashika.com/"
"ケイキ歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-85-7692","奈良県生駒市小明町１５４９－１－１０３",
"さつき台歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-72-4618","奈良県生駒市さつき台２丁目４５１－２０５","http://www.satukidai-dc.com/"
"エスエイ歯科医院イオンモール大和郡山","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-58-6528","奈良県大和郡山市下三橋町７４１",
"フジモト歯科","矯正歯科、歯科、小児歯科"," 0745-62-8117","奈良県御所市大広町３１９",
"山本歯科クリニック","歯科、歯科口腔外科、小児歯科"," 0743-70-1855","奈良県生駒市白庭台６丁目１－１",
"ファミリー歯科診療所","歯科、歯科口腔外科"," 0742-35-8020","奈良県奈良市佐紀町２",
"下野歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-49-1180","奈良県奈良市西大寺南町１－１７－１０１",
"こうの歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-75-6556","奈良県生駒郡斑鳩町服部１丁目１２－１２",
"有井にった歯科医院","歯科、小児歯科"," 0745-23-3820","奈良県大和高田市大字有井１４１－１",
"アスキーデンタルクリニック","歯科、小児歯科"," 0742-30-6788","奈良県奈良市芝辻町２丁目１０－４","http://www.asky-dc.com/"
"医療法人冨森会冨森歯科医院","矯正歯科、歯科、小児歯科"," 0742-22-3332","奈良県奈良市押上町２０－２",
"馬場歯科クリニック","歯科"," 0745-70-5800","奈良県香芝市旭ケ丘３丁目２－４","https://www.babadentalkashibanara.com/"
"松本歯科クリニック","歯科、歯科口腔外科、小児歯科"," 0745-54-5064","奈良県北葛城郡広陵町大字大塚５９－１",
"バンビ歯科・矯正","矯正歯科、歯科、小児歯科"," 0745-54-1182","奈良県北葛城郡広陵町馬見南１丁目６－２６",
"土居歯科医院","矯正歯科、歯科、小児歯科"," 0745-54-0418","奈良県北葛城郡広陵町みささぎ台３７－１０",
"ひだ歯科医院","歯科、歯科口腔外科、小児歯科"," 0742-52-5488","奈良県奈良市中山町１２５５－２",
"浜中矯正歯科クリニック","矯正歯科"," 0742-46-9410","奈良県奈良市学園北１丁目１－４",
"竹村歯科医院","歯科、小児歯科"," 0742-47-6543","奈良県奈良市あやめ池南２丁目２－９",
"稲田デンタルクリニック","歯科、歯科口腔外科"," 0742-22-5666","奈良県奈良市大森町４５","http://www.inada-dc.com/"
"牧田歯科医院","歯科"," 0743-73-1700","奈良県生駒市中菜畑１丁目４９－１－２０２",
"有山よしのぶ歯科医院","矯正歯科、歯科、小児歯科"," 0742-36-4618","奈良県奈良市西大寺東町２丁目１－５３","http://ariyama-dental.jp/"
"林小児歯科","矯正歯科、歯科、小児歯科"," 0742-27-1182","奈良県奈良市三条本町３－２４","https://www.hayashishonishika.org/"
"林小児歯科／学園前","矯正歯科、歯科、小児歯科"," 0742-44-1182","奈良県奈良市学園北１丁目７－１３","https://www.hayashishonishika-gakuenmae.com/"
"岡本歯科医院","歯科"," 0745-52-2308","奈良県大和高田市内本町８－２７",
"なごみ歯科クリニック","矯正歯科、歯科、小児歯科"," 0743-72-6480","奈良県生駒市白庭台４丁目９－１２",
"南田歯科医院","歯科、小児歯科"," 0743-52-7667","奈良県大和郡山市高田町５１７－１",
"橿原デンタルクリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0744-28-3718","奈良県橿原市石川町２８０",
"たかさき歯科医院","歯科、歯科口腔外科、小児歯科"," 0745-77-8004","奈良県香芝市五位堂３丁目４５８－１",
"中村歯科医院","歯科、小児歯科"," 0745-73-9300","奈良県北葛城郡河合町中山台２丁目５－１２",
"松井歯科医院","歯科、小児歯科"," 0743-63-2340","奈良県天理市田井庄町５２１","http://matsui.medicoop.ne.jp/"
"西川歯科医院","歯科"," 0742-46-1246","奈良県奈良市宝来１丁目８－１",
"田中歯科医院","歯科"," 0744-23-8834","奈良県橿原市新賀町３１２－４",
"松中歯科医院","歯科"," 0743-75-5233","奈良県生駒市小明町５４４－１",
"医療法人翔デンタルクリニック","矯正歯科、歯科"," 0743-75-8448","奈良県生駒市谷田町８５０－４－２Ｆ",
"野阪歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-45-4457","奈良県奈良市鶴舞東町２－１０","http://www.nosakashika.net/"
"髙橋矯正歯科","矯正歯科"," 0742-35-3566","奈良県奈良市西大寺東町２丁目１－５５","http://www.smile1.jp"
"三室休日応急診療所","休日診療機関、歯科、小児科、内科、夜間診療機関"," 0745-74-4100","奈良県生駒郡斑鳩町稲葉車瀬２丁目５－１８",
"医療法人大樹会へぐり歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-46-2488","奈良県生駒郡平群町大字下垣内８４－７",
"森歯科クリニック","歯科、デンタルドック"," 0742-44-1600","奈良県奈良市学園北１丁目１６－４",
"醍醐よしかわ歯科","歯科、小児歯科"," 0744-24-2373","奈良県橿原市醍醐町５７３","http://www.d-yoshikawa.com"
"奈良友紘会病院","眼科、外科、歯科、耳鼻咽喉科、小児科、整形外科、内科、人間ドック、脳神経外科、泌尿器科、放射線科、リハビリテーション科"," 0745-78-3588","奈良県北葛城郡上牧町服部台５丁目２－１",
"畑下歯科医院","矯正歯科、歯科、小児歯科"," 0742-43-4182","奈良県奈良市疋田町４丁目１２８－１","https://www.hatashitadental.com/"
"やまおか歯科","矯正歯科、歯科、小児歯科"," 0742-51-3113","奈良県奈良市三碓３丁目１１－１",
"中谷歯科医院","歯科"," 0747-22-2446","奈良県五條市野原西４丁目１１－３",
"西の京病院","病院・療養所、眼科、外科、呼吸器内科、歯科、耳鼻咽喉科、循環器内科、消化器外科、消化器内科、腎臓内科、整形外科、糖尿病内科、内科、人間ドック、脳神経外科、泌尿器科、放射線科、リウマチ科、リハビリテーション科"," 0742-35-1121","奈良県奈良市六条町１０２－１",
"みねい歯科医院","矯正歯科、歯科、小児歯科"," 0742-36-2020","奈良県奈良市恋の窪２丁目１２－９",
"村井歯科医院","歯科"," 0742-61-9650","奈良県奈良市南京終町１丁目１０９",
"植村歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-55-1828","奈良県大和郡山市泉原町１－７","https://www.489map.com/helios/A4109550/reserve/syoshin"
"楠原デンタルクリニック","歯科"," 0742-22-4168","奈良県奈良市角振町１３",
"医療法人仲川神宮前歯科","歯科、歯科口腔外科、小児歯科"," 0744-27-6661","奈良県橿原市久米町６３７－２","https://www.nakagawajingumae.com"
"有山歯科診療所","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-45-0663","奈良県奈良市学園北１丁目１０－１",
"堀内歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-69-2882","奈良県葛城市北花内７２３",
"松田歯科クリニック","矯正歯科、歯科"," 0742-24-4618","奈良県奈良市南紀寺町３丁目６２－４","http://www.matsudadent.com"
"ふかみ歯科・矯正科クリニック","矯正歯科、歯科"," 0745-22-6480","奈良県大和高田市高砂町６－２",
"平山歯科医院","歯科"," 0745-74-4708","奈良県生駒郡斑鳩町阿波３丁目１－２７－１Ｆ",
"薬師寺歯科・矯正歯科","矯正歯科、歯科"," 0742-26-5389","奈良県奈良市高天町３８－５－１０１",
"松井デンタルクリニック","歯科、小児歯科"," 0743-55-1500","奈良県大和郡山市北郡山町２４８",
"小向井歯科クリニック","歯科、歯科口腔外科、小児歯科"," 0745-46-2500","奈良県生駒郡平群町北信貴ケ丘１丁目５２４－１",
"登美ヶ丘歯科医院","歯科、小児歯科"," 0742-45-6662","奈良県奈良市西登美ヶ丘２丁目２－７",
"しんみょう歯科クリニック","歯科、歯科口腔外科、小児歯科"," 0745-55-6363","奈良県北葛城郡広陵町大字安部２３６－１－２",
"ひがしうら歯科","歯科、小児歯科"," 0742-22-2664","奈良県奈良市小川町５－６",
"しみず歯科醫院","歯科"," 0743-56-6486","奈良県大和郡山市筒井町５８７",
"倉木歯科医院","歯科"," 0742-61-1056","奈良県奈良市古市町１７３９－６",
"米田歯科医院","歯科、小児歯科"," 0742-40-3337","奈良県奈良市西登美ヶ丘２丁目１－２５",
"いとう歯科","歯科、小児歯科"," 0743-71-6500","奈良県生駒市東生駒２丁目２０７－８２","http://www.ito-dc.net/"
"飯田祥了歯科診療室","歯科、歯科口腔外科、小児歯科"," 0743-62-0045","奈良県天理市川原城町３１４",
"ブランカ歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-30-6315","奈良県奈良市芝辻町４丁目１－１",
"ほうたつ歯科医院","歯科"," 0742-33-5353","奈良県奈良市尼辻中町１０－２５",
"せんざい歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-62-8020","奈良県天理市前栽町７１－１",
"アイヴィデンタルオフィス","歯科、歯科口腔外科、小児歯科"," 0744-24-2545","奈良県橿原市栄和町１０２－３",
"白井歯科クリニック","歯科、小児歯科"," 0745-56-2108","奈良県北葛城郡広陵町大字中１６９","https://www.shiraishika-clinic.com/"
"しもおか歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0744-29-3392","奈良県橿原市葛本町７８７－３",
"芝原歯科","歯科、小児歯科"," 0742-32-3399","奈良県奈良市大宮町４丁目２６９－４","https://www.shibaharashika.net/"
"Ｍ．デンタルオフィス","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-32-1710","奈良県奈良市柏木町５１９－９",
"はやし歯科クリニック","矯正歯科、歯科、小児歯科"," 0742-71-8848","奈良県奈良市朱雀６丁目２０－１",
"かみだ歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-70-0808","奈良県生駒市南田原町８２１－１",
"増田医院","歯科"," 0743-74-1020","奈良県生駒市元町１丁目５－１２－４Ｆ",
"服部記念病院","病院・療養所、眼科、外科、歯科、歯科口腔外科、循環器内科、整形外科、精神科、内科、人間ドック、婦人科、放射線科、リハビリテーション"," 0745-77-1333","奈良県北葛城郡上牧町大字上牧４２４４",
"帝塚山歯科","歯科、歯科口腔外科、小児歯科"," 0742-52-8484","奈良県奈良市鳥見町２丁目１６－５","http://www.tezukayama-dental.com/"
"やお歯科医院","歯科、小児歯科"," 0742-36-5058","奈良県奈良市大宮町７丁目２－５－２０１","http://www.yaoshika.jp/"
"にしかわ歯科口腔外科クリニック","歯科、歯科口腔外科、小児歯科"," 0743-64-1903","奈良県天理市二階堂上ノ庄町１４０－３","https://nikaido-dentnishikawa.com/"
"ホワイト歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0744-25-6588","奈良県橿原市八木町１丁目５－３０","https://www.white-dentalclinic.net/"
"池元歯科医院","矯正歯科、歯科、小児歯科"," 0742-51-4182","奈良県奈良市中登美ヶ丘３丁目５","http://ikemoto.dental-net.jp/"
"かわはら歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-35-5510","奈良県奈良市法華寺町１－５－１０１","http://www.kawahara-shika.com/"
"今元歯科","歯科、歯科口腔外科、小児歯科"," 0747-52-0821","奈良県吉野郡大淀町大字下渕１９５－１",
"喜村歯科医院","歯科"," 0745-76-5123","奈良県香芝市畑４丁目１２６－７",
"阪上歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0744-27-8395","奈良県橿原市見瀬町２６－２",
"ＨａＮａデンタルクリニック","歯科"," 0743-62-3766","奈良県天理市別所町２３７－３","http://haisha-yoyaku.jp/bun2sdental/detail/index/id/2930900705/"
"野迫川村立国民健康保険診療所","医院・診療所、外科、歯科、小児科、整形外科、精神科、内科、放射線科"," 0747-37-2202","奈良県吉野郡野迫川村大字中３５５",
"かわた歯科クリニック","歯科、小児歯科"," 0743-23-1000","奈良県大和郡山市小泉町東１丁目８－６－１０５",
"上海道歯科医院","歯科、歯科口腔外科、小児歯科"," 0744-44-1182","奈良県桜井市大字太田２４２－３","https://www.kamikaido-shika.com"
"にしむら歯科","歯科、小児歯科"," 0742-53-6480","奈良県奈良市宝来３丁目１６－１０",
