"会社名","カテゴリー","電話番号","住所","webサイト"
"広田デンタルクリニック歯科口腔外科","歯科、歯科口腔外科"," 06-6882-4182","大阪府大阪市北区天神橋２丁目２－１０","http://www.hirota-dental.jp"
"かわさと歯科","矯正歯科、歯科"," 06-6344-5535","大阪府大阪市北区曾根崎新地１丁目４－２０","http://www.kawasato-do.jp"
"やました歯科クリニック","歯科、歯科口腔外科、小児歯科"," 072-237-6480","大阪府堺市東区関茶屋１－１５","http://www.y-sika.com"
"堀坂歯科・歯ならび矯正歯科","矯正歯科、歯科"," 06-6631-2525","大阪府大阪市浪速区難波中１丁目１３－２０","https://www.horisaka-dc.info/"
"医療法人いなほ会くまざき歯科滝谷不動診療所","歯科、歯科口腔外科、小児歯科"," 0721-24-8241","大阪府富田林市錦織東２丁目１９－１４－１０３","https://www.kumazaki-takidanifudo.com/"
"医療法人いなほ会くまざき歯科東大阪診療所","歯科、歯科口腔外科、小児歯科","(F兼) 072-981-5436","大阪府東大阪市末広町２－６","https://www.kumazaki-higashioosaka.com/"
"久保デンタルクリニック","歯科、小児歯科"," 072-685-6474","大阪府高槻市芥川町２丁目１３－２２","https://www.kubo-dentalclinic.com/"
"大山歯科医院","歯科、小児歯科"," 075-962-8000","大阪府三島郡島本町若山台２丁目６－１－２－１０６","https://www.mishimagun-ooyamashika.com"
"ほりぐち歯科","歯科、歯科口腔外科、小児歯科"," 072-484-0987","大阪府泉南市信達大苗代３６５－５",""
"野入歯科クリニック","医院・診療所、矯正歯科、歯科、小児歯科"," 06-6727-4182","大阪府東大阪市近江堂２丁目１０－１３","https://www.noiri-sika-clinic.com/"
"ふちはた歯科","矯正歯科、歯科"," 06-6779-6408","大阪府大阪市天王寺区上本町８丁目７－２９","http://www.hdhc.jp"
"吉田歯科","歯科"," 072-464-0395","大阪府泉佐野市上町３丁目１０－１８",""
"医療法人たじま歯科","歯科、小児歯科"," 072-482-8241","大阪府泉南市樽井２丁目２３－５","http://www.tajima-dc.com"
"よし藤歯科医院","歯科、歯科口腔外科、小児歯科"," 0120-078419","大阪府池田市栄町１－１",""
"おのえ歯科","歯科、小児歯科、歯科口腔外科"," 0120-588700","大阪府堺市堺区戎島町２丁９","https://onoe-shika.net/"
"綾園歯科","歯科、小児歯科、歯科口腔外科"," 0120-657163","大阪府高石市綾園１丁目１４－２８",""
"ＧＡデンタルオフィス","歯科、小児歯科、歯科口腔外科"," 0120-130033","大阪府大阪市中央区西心斎橋２丁目７－２５","https://11-8148.com/"
"なかむら歯科医院","歯科、小児歯科"," 072-270-3195","大阪府堺市中区深井中町１９７５－４","http://www.nakamura-do.com/"
"医療法人いしかわ矯正歯科クリニック","矯正歯科"," 06-6955-7100","大阪府大阪市旭区森小路２丁目１－１０","http://kyousei21.com/"
"中野歯科","歯科、小児歯科"," 072-446-8778","大阪府貝塚市清児７８１－１８",""
"ふじや歯科医院","歯科"," 072-465-7508","大阪府泉佐野市南中安松５９１－４",""
"土居歯科医院","歯科、歯科口腔外科"," 072-721-7996","大阪府箕面市箕面５丁目１－５２","https://www.doi-dc.net/"
"中村歯科医院","歯科、歯科口腔外科、小児歯科"," 0725-41-7972","大阪府和泉市府中町１丁目５－１３","http://www.nakamuradentalclinic.com/"
"木原歯科医院","歯科、歯科口腔外科、小児歯科"," 06-6329-2989","大阪府大阪市東淀川区瑞光２丁目１１－１２",""
"よしみち歯科・矯正歯科医院","矯正歯科、歯科"," 06-6909-0080","大阪府門真市末広町１７－１８","http://www.yosimichi-dental.com/"
"松村デンタルクリニック","矯正歯科、歯科、小児歯科"," 072-990-4180","大阪府八尾市高安町南１丁目１２５－１","http://www.matsumura-dc.jp/"
"淺村歯科","歯科"," 072-725-4618","大阪府箕面市桜３丁目４－４",""
"古沢歯科クリニック","歯科、歯科口腔外科、小児歯科"," 06-6971-7539","大阪府大阪市東成区玉津２丁目１６－１６","https://sites.google.com/site/furusawashikakurinikku/"
"ゆり歯科医院","歯科、デンタルドック"," 0725-22-6680","大阪府泉北郡忠岡町忠岡北１丁目３－８","https://www.yuri-dental.com/"
"石井歯科クリニック","歯科、小児歯科"," 06-6471-8241","大阪府大阪市西淀川区柏里３丁目３－１７","http://ishii-shikaclinic.com/index"
"松島歯科医院","歯科、歯科口腔外科、小児歯科"," 0721-28-7000","大阪府富田林市藤沢台６丁目１－１１","https://www.matsushima-dc.net/"
"うえば歯科医院","歯科、小児歯科"," 072-866-1678","大阪府枚方市牧野下島町１４－１１",""
"山元歯科医院","矯正歯科、歯科"," 0721-28-5584","大阪府富田林市久野喜台１丁目２２－１２","http://www.yamamoto-kyoseishika.com/"
"ひらおファミリア歯科","矯正歯科、歯科、小児歯科"," 072-682-3418","大阪府高槻市天神町１丁目９－２１","http://www.hirao-fdc.com/"
"宮本歯科医院","歯科、歯科口腔外科、小児歯科"," 06-6690-1182","大阪府大阪市阿倍野区西田辺町２丁目２－９",""
"河合歯科医院","歯科、小児歯科"," 072-233-3588","大阪府堺市堺区大浜中町２丁１－２１","http://kawai.dental-office.jp/"
"山口歯科","歯科、小児歯科"," 06-6351-5815","大阪府大阪市北区天神橋３丁目８－１９","http://www.yamaguchi-dental.com/"
"おおくぼ歯科医院","歯科、歯科口腔外科、小児歯科"," 06-6622-4567","大阪府大阪市阿倍野区文の里１丁目８－２８","https://asp2.viaplatz.com/vpz/main/embp/?coid=9516&st=0&fmt=hls&br=750000&is_guest=YES&pghash=c454f2c33dac&is_embed=yes"
"ヤマダ矯正歯科","矯正歯科、歯科"," 0725-22-8558","大阪府泉大津市旭町１８－３","http://www.yamada-ortho.com/"
"西川歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 06-6385-2270","大阪府吹田市千里山西１丁目４０－８","http://www.nishikawa-shika.jp/"
"キタ歯科","歯科、小児歯科"," 072-848-2551","大阪府枚方市星丘３丁目２３－１４",""
"かました歯科","歯科"," 06-6624-0767","大阪府大阪市阿倍野区阿倍野筋１丁目３－２０",""
"かさはら歯科医院","歯科、歯科口腔外科、小児歯科"," 06-6353-5656","大阪府大阪市都島区中野町４丁目９－９","http://shika-miyakojima.com/"
"いけだ歯科クリニック","歯科"," 072-892-8282","大阪府交野市星田３丁目３７－６",""
"西田歯科医院","矯正歯科、歯科、小児歯科"," 06-6724-5828","大阪府東大阪市下小阪１丁目５－７","http://nishidaz.web.fc2.com/"
"野村歯科","歯科、小児歯科"," 072-999-8879","大阪府八尾市山本町南１丁目２－１",""
"医療法人松下歯科","歯科、小児歯科"," 072-941-9164","大阪府八尾市恩智中町１丁目１２－２","https://www.matsushita-sika.com/"
"たつみ歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科、デンタルドック"," 072-753-9122","大阪府池田市畑１丁目６－２５","http://tatsumi-dental.jp"
"医療法人雅会くが歯科医院",""," 06-6924-0418","大阪府大阪市都島区中野町５丁目１３－４",""
"安部歯科医院","歯科、小児歯科"," 072-820-6480","大阪府寝屋川市明徳１丁目１４－１５","http://fdoc.jp/clinic/detail/index/id/71286/"
"古川歯科クリニック","歯科、小児歯科"," 072-920-7272","大阪府東大阪市昭和町１－３－２０１","http://dc-furukawa.com/"
"高畑歯科","矯正歯科、歯科"," 06-6365-1181","大阪府大阪市北区西天満４丁目４－１８","http://www.welcare.info/"
"森岡歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 06-6873-6480","大阪府吹田市古江台４丁目２－６０－３０３","http://www.morioka-shika.com"
"なかはし矯正歯科","矯正歯科"," 072-286-4182","大阪府堺市東区日置荘西町２丁３－５","http://www.nakahashi-ortho.com/"
"やまぐち歯科","歯科、小児歯科"," 06-6686-7000","大阪府大阪市住之江区西加賀屋３丁目６－５",""
"糸川歯科医院","歯科"," 072-257-1084","大阪府堺市堺区向陵中町２丁２－１４",""
"よしたか歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 072-852-8128","大阪府枚方市茄子作東町２６－１８",""
"まるおか歯科クリニック","歯科、歯科口腔外科"," 072-762-6480","大阪府池田市石橋２丁目１６－１４",""
"長﨑歯科クリニック","歯科、小児歯科、歯科口腔外科"," 06-6629-8880","大阪府大阪市阿倍野区文の里３丁目２－１８","https://www.nagasaki-shika.info/"
"青木歯科","歯科、小児歯科"," 072-955-1003","大阪府羽曳野市恵我之荘５丁目１－４",""
"きたのだ歯科","歯科、歯科口腔外科、小児歯科"," 072-239-0008","大阪府堺市東区北野田５１４－２","https://kitanoda-shika.net/"
"平尾歯科","歯科、小児歯科"," 0721-81-8148","大阪府河内長野市三日市町５６－１８","http://www.hiraoshika.com/"
"森本歯科医院","歯科"," 072-632-5362","大阪府茨木市末広町２－３０","http://morimotoshika.dentalmall.jp/"
"谷歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 072-835-5777","大阪府枚方市香里ケ丘１０丁目３４６３－１８",""
"明石歯科医院","歯科、小児歯科"," 072-255-2050","大阪府堺市堺区向陵中町３丁６－１",""
"池澤歯科クリニック","歯科、歯科口腔外科、小児歯科"," 06-6850-8020","大阪府豊中市上野東２丁目１－１","https://www.ikezawa-dc.info/"
"わだ歯科クリニック","歯科、歯科口腔外科、小児歯科"," 06-6701-6480","大阪府大阪市平野区長吉川辺１丁目北２－３３","https://wada-dentalcl.jp/"
"黒田歯科医院","歯科"," 0725-32-3752","大阪府泉大津市若宮町６－３","http://kuroda-dc.daa.jp/"
"そうま歯科・矯正歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 06-6302-1893","大阪府大阪市淀川区塚本２丁目１９－１６","http://www7b.biglobe.ne.jp/~soma-dent/"
"柴田歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 06-6977-4618","大阪府大阪市東成区東中本３丁目４－３０","https://www.shibatadl-yoboushika.com/"
"時枝歯科医院","歯科"," 072-952-5320","大阪府藤井寺市林２丁目６－５０",""
"メディカデンタルクリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 06-6442-4618","大阪府大阪市北区堂島浜１丁目４－１９","http://www.medica-dojima.com/"
"やまうち歯科医院",""," 072-928-6111","大阪府八尾市桜ヶ丘３丁目１１２－３","https://yamauchi-dent.com/s/"
"ひらき矯正歯科","矯正歯科"," 06-6608-0875","大阪府大阪市住吉区長居東４丁目７－１５",""
"兵頭歯科","歯科、小児歯科、歯科口腔外科、矯正歯科"," 072-265-0955","大阪府高石市高師浜３丁目２１－１－１０２","http://www.hyodo-shika.com/"
"鶴田歯科医院","歯科、小児歯科"," 072-287-6480","大阪府堺市東区日置荘原寺町１８５－５８",""
"まつもり歯科クリニック","矯正歯科、歯科、小児歯科"," 06-6552-4182","大阪府大阪市大正区千島３丁目１４－１９",""
"きしだ歯科","歯科、歯科口腔外科、小児歯科"," 0725-46-8241","大阪府和泉市伯太町６丁目１１－４０",""
"河辺歯科医院","歯科"," 072-252-0541","大阪府堺市北区百舌鳥赤畑町４丁２５１","https://www.kawabesika-yokukamu.com/"
"藤村歯科","歯科,小児歯科,矯正歯科"," 072-234-8588","大阪府堺市中区土塔町３０７２－５",""
"木村矯正歯科","矯正歯科、歯科"," 072-800-6536","大阪府枚方市楠葉花園町１１－３－２０３","https://www.kimura-kyousei.com/"
"吉岡歯科医院","矯正歯科、歯科、小児歯科"," 06-6914-2525","大阪府大阪市鶴見区諸口３丁目１－２１",""
"おだ歯科医院","歯科"," 06-6925-2060","大阪府大阪市都島区都島本通２丁目１１－１３",""
"なかい歯科医院","歯科、小児歯科"," 072-724-2473","大阪府箕面市牧落３丁目２－１３－２０３","https://www.nakai-shika.info"
"山下歯科医院","歯科、歯科口腔外科、小児歯科"," 072-427-6480","大阪府岸和田市土生町５丁目７－１","http://www.yamashita-dentaloffice.com/"
"野口歯科","歯科、小児歯科、矯正歯科、歯科口腔外科"," 06-6365-4712","大阪府大阪市北区角田町１－１２","http://www.noguchi-dental.net/"
"あいデンタルクリニック","歯科"," 06-6452-4182","大阪府大阪市福島区鷺洲１丁目２－８","http://www.ai-dental.com"
"かなやま歯科","歯科、小児歯科"," 06-6327-8148","大阪府大阪市東淀川区豊里７丁目１１－１８","http://www.kanayama-shika.com/"
"やすば歯科医院",""," 06-6697-5519","大阪府大阪市住吉区苅田７丁目１２－２８－２０２",""
"菱田歯科医院","歯科、歯科口腔外科、小児歯科"," 06-6721-9703","大阪府東大阪市菱屋西１丁目１８－６－１Ｆ","http://e-hishidashika.com"
"伊﨑歯科医院","矯正歯科、歯科、小児歯科"," 072-472-0138","大阪府阪南市尾崎町２丁目２－９",""
"あおぞら歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科","(F兼) 06-6576-1876","大阪府大阪市港区弁天３丁目１３－１","http://www.dental-aozora.com"
"大阪府歯科保険医協会","医療組合・団体","(代) 06-6568-7731","大阪府大阪市浪速区幸町１丁目２－３３",""
"大阪府歯科保険医協会","医療組合・団体"," 06-6568-7467","大阪府大阪市浪速区幸町１丁目２－３３",""
"大阪府歯科保険医協会","医療組合・団体"," 06-6568-7438","大阪府大阪市浪速区幸町１丁目２－３３",""
"大阪府歯科医師会／大阪府学校歯科医会","歯科医師会"," 06-6772-8367","大阪府大阪市天王寺区堂ケ芝１丁目３－２７",""
"大阪府歯科医師会／大阪市学校歯科医会","歯科医師会"," 06-6772-8362","大阪府大阪市天王寺区堂ケ芝１丁目３－２７",""
"医療法人医之和会小児歯科・矯正スマイルプラザ","矯正歯科、歯科、歯科口腔外科、小児歯科"," 072-881-4618","大阪府門真市宮野町３－２３",""
"医療法人医之和会小児歯科・矯正スマイルプラザ","矯正歯科、歯科、歯科口腔外科、小児歯科","(F専) 072-881-5123","大阪府門真市宮野町３－２３",""
"北条病院","アレルギー科、呼吸器内科、歯科、消化器内科、整形外科、内科、リウマチ科、リハビリテーション科","(代) 072-277-1119","大阪府堺市北区百舌鳥陵南町１丁７７－１","http://houjyou.or.jp/"
"行岡病院","眼科、外科、歯科、歯科口腔外科、耳鼻咽喉科、消化器外科、消化器内科、心療内科、整形外科、デイケア、内科、脳神経外科、泌尿器科、皮膚科、婦人科、放射線科、訪問介護、訪問看護ステーション、リウマチ科、リハビリテーション科","(代) 06-6371-9921","大阪府大阪市北区浮田２丁目２－３",""
"近藤歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科","(代) 0721-53-6480","大阪府河内長野市汐の宮町９２－１４","https://www.kondodentalclinic.com/"
"奥野歯科医院","歯科","(代) 072-426-6480","大阪府岸和田市下松町３丁目２－１",""
"とみぐち歯科","歯科、小児歯科"," 072-645-4618","大阪府茨木市西中条町１－２２－１０５",""
"キッタカ歯科","矯正歯科、歯科、小児歯科"," 072-751-2281","大阪府池田市栄町１０－３",""
"小北歯科","歯科、歯科口腔外科、小児歯科"," 072-841-1118","大阪府枚方市大垣内町２丁目７－１６",""
"医療法人藤原歯科医院","歯科"," 06-6251-6480","大阪府大阪市中央区島之内１丁目７－１８","http://fdc.wisnet.ne.jp"
"西田歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 06-6386-8801","大阪府豊中市東寺内町５－３０",""
"坂田歯科","歯科"," 06-6834-4188","大阪府豊中市新千里東町１丁目５－３",""
"森本歯科医院","歯科"," 0721-56-0028","大阪府河内長野市昭栄町８－５","http://www.jinseikai-implant.jp/"
"とも歯科クリニック","歯科、歯科口腔外科、小児歯科"," 072-338-2244","大阪府松原市天美南３丁目１５－５７",""
"倉橋歯科医院","歯科、歯科口腔外科、小児歯科"," 072-255-4181","大阪府堺市北区長曽根町３０６９－５－３Ｆ－Ａ","https://www.kurahashi-dc.com/"
"津田歯科医院","矯正歯科、歯科、小児歯科"," 0721-23-8618","大阪府富田林市若松町西３丁目１４２７－６",""
"廣田歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 072-488-2118","大阪府泉南郡岬町淡輪１１４４－２","http://www.hirotashika.net"
"ひさき矯正歯科","矯正歯科、歯科"," 072-686-5511","大阪府高槻市高槻町１０－１９","https://www.hisakikyouseishika-recruit.com/"
"うえだ矯正歯科クリニック","矯正歯科"," 072-957-8749","大阪府羽曳野市白鳥２丁目４－１","www.osakakyousei.com"
"川端歯科クリニック","矯正歯科、歯科、小児歯科"," 06-6368-5370","大阪府吹田市千里山西６丁目５６－２",""
"足立歯科医院","矯正歯科、歯科、小児歯科"," 0725-57-8817","大阪府和泉市室堂町８２４－３６","https://www.adachi-dc.com/"
"中本矯正歯科","矯正歯科、歯科"," 072-953-8444","大阪府藤井寺市春日丘３丁目１－７１","http://www.nakamoto-kyosei.com"
"医療法人飯田歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 072-296-0030","大阪府堺市南区桃山台４丁２－３","http://www.iidasika.com/"
"下村歯科医院","矯正歯科、歯科、小児歯科"," 072-686-6480","大阪府高槻市芥川町１丁目７－２６－３０１",""
"上田歯科医院","歯科"," 072-259-1301","大阪府堺市北区百舌鳥赤畑町３丁１４１－１",""
"斎藤歯科医院","歯科"," 072-694-5252","大阪府高槻市大畑町５－４",""
"医療法人大谷歯科","矯正歯科、歯科、小児歯科"," 072-962-8049","大阪府東大阪市玉串元町２丁目２－２６－１０２",""
"門田歯科クリニック","歯科、歯科口腔外科、小児歯科"," 072-695-8148","大阪府高槻市富田丘町３－１２－２０７","www.kadota-dental.com"
"原歯科医院","歯科"," 0725-44-3129","大阪府和泉市伯太町１丁目４－３１",""
"ヘルスケア松本歯科クリニック","歯科、歯科口腔外科、小児歯科"," 06-4865-1777","大阪府豊中市少路１丁目２－７－２０１","http://www.healthcare-mdc.com"
"医療法人北川歯科医院","矯正歯科、歯科"," 072-738-3307","大阪府豊能郡豊能町東ときわ台７丁目１－９",""
"やすだ歯科クリニック","矯正歯科、歯科、小児歯科"," 06-4700-8000","大阪府大阪市住吉区南住吉４丁目１６－１６","http://www.yasudashika.net/"
"大住歯科","歯科"," 06-6762-1101","大阪府大阪市中央区上本町西５丁目３－１",""
"たき歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0721-24-6241","大阪府富田林市常盤町１５－１１",""
"中村歯科医院","歯科"," 0725-21-8361","大阪府泉大津市旭町２１－２７",""
"三原歯科医院","歯科"," 072-761-1524","大阪府池田市石橋１丁目１３－３",""
"片平歯科医院","歯科"," 0725-57-7501","大阪府和泉市池田下町１２２－１",""
"ひがき歯科クリニック","歯科、歯科口腔外科、小児歯科"," 072-898-8090","大阪府枚方市御殿山町１６－１",""
"やまだ歯科医院","歯科"," 072-671-6471","大阪府高槻市天王町３２－１５","https://www.yamada-dc.biz/"
"さわだ歯科","歯科、小児歯科"," 0721-52-5137","大阪府河内長野市本多町４－５",""
"宮地歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 072-668-2578","大阪府高槻市白梅町４－１３",""
"小原歯科クリニック","歯科"," 072-738-8217","大阪府豊能郡豊能町東ときわ台９丁目１－３",""
"ヤナギ矯正歯科","矯正歯科"," 06-6856-0254","大阪府豊中市本町３丁目１－５８",""
"中塚歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 072-885-0720","大阪府門真市桑才町２７－２５","http://www.nakatsuka-dc.com/"
"松島歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 06-6908-8809","大阪府門真市末広町２６－６","http://www.8809.jp"
"こばやし矯正歯科","矯正歯科"," 072-470-2418","大阪府阪南市下出４５－２",""
"喜田歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 06-6388-1900","大阪府吹田市原町４丁目２３－４","http://www.kidashika.com"
"土井歯科御池台診療所","歯科"," 072-296-8614","大阪府堺市南区御池台３丁２－３","https://www.doishika-miikedai.net/"
"渋谷歯科医院","歯科"," 072-958-7718","大阪府羽曳野市栄町３－７","http://www.shibutani-dentalclinic.com/"
"くにし歯科医院","歯科、小児歯科"," 0721-55-6777","大阪府河内長野市松ケ丘中町１３１７－１",""
"吉田歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 072-256-6636","大阪府堺市堺区向陵東町３丁５－１９",""
"和田歯科医院","歯科"," 072-670-0200","大阪府高槻市大塚町５丁目１２－５－１０２","https://www.wada-dental-office.com"
"岡田歯科医院","歯科"," 06-6863-0728","大阪府豊中市服部本町２丁目５－２３",""
"牧野歯科医院","歯科"," 0721-52-2403","大阪府河内長野市栄町６－２１",""
"かつふじ歯科","歯科、歯科口腔外科、小児歯科"," 072-469-3826","大阪府泉佐野市上町３丁目１－２３",""
"河口歯科","歯科"," 072-876-0929","大阪府大東市北条１丁目２－２",""
"泉本歯科診療所","歯科"," 072-441-6565","大阪府岸和田市大町４丁目４－１１",""
"谷歯科・小児矯正歯科医院","矯正歯科、歯科、小児歯科"," 072-253-4180","大阪府堺市北区奥本町１丁１５",""
"清水歯科クリニック","歯科"," 072-763-1158","大阪府池田市井口堂１丁目６－３０","https://www.shimizu-shika-ikeda.com/"
"よしむら歯科医院","歯科、小児歯科"," 06-6835-5547","大阪府豊中市新千里南町３丁目１－１４",""
"上田歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 072-685-1477","大阪府高槻市北園町３－１６","https://www.ueda-shika-iin.com"
"福井歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 072-820-4182","大阪府寝屋川市早子町１８－１",""
"岡歯科診療所","歯科"," 06-6832-6677","大阪府豊中市新千里東町１丁目３－１３９",""
"みなみ歯科クリニック","矯正歯科、歯科、小児歯科"," 072-438-0648","大阪府岸和田市別所町２丁目１８－３","http://www.minami-dc.net"
"オクノ歯科","歯科"," 072-437-3727","大阪府岸和田市土生町２丁目１２－２","http://www.okuno-dental.com/"
"松原徳洲会病院","病院・療養所、眼科、外科、歯科口腔外科、循環器内科、消化器内科、心臓血管外科、内科、泌尿器科、婦人科"," 072-334-3400","大阪府松原市天美東７丁目１３－２６",""
"寺田歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 072-881-1180","大阪府門真市舟田町１４－１３",""
"しらかみ歯科医院","歯科、小児歯科"," 06-6318-1212","大阪府摂津市正雀本町１丁目２１－２２",""
"砂野歯科","歯科"," 072-692-9009","大阪府高槻市川添２丁目１－１４","http://www.sunano-dc.com/"
"ふじもと歯科クリニック","歯科、歯科口腔外科、小児歯科"," 06-6763-7200","大阪府大阪市中央区瓦屋町１丁目７－３１","https://www.fujimoto-dental.info/"
"アイ歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 06-6854-1181","大阪府豊中市東豊中町６丁目１７－１",""
"おくだ歯科医院","歯科"," 072-874-6480","大阪府大東市灰塚２丁目２－２０","http://www.okuda-dental.net/"
"たけい歯科","歯科、小児歯科"," 072-873-8020","大阪府大東市御供田４丁目４－１１",""
"あいうら歯科医院","歯科、小児歯科"," 072-626-8241","大阪府茨木市西中条町３","https://www.aiura-dental.com"
"サイトウ歯科クリニック","歯科"," 072-939-6786","大阪府藤井寺市青山２丁目１２－１０－１０５","http://www.saito-shika.com/"
"おぜ歯科医院","歯科"," 072-438-6162","大阪府岸和田市別所町１丁目１－１９",""
"小泉歯科医院","歯科"," 06-6336-0831","大阪府豊中市豊南町西３丁目２０－２０","https://www.koizumishika.info/"
"杉山歯科","歯科"," 0725-23-0034","大阪府泉大津市虫取町１丁目５－１－１０６",""
"内田歯科医院","矯正歯科、歯科、小児歯科"," 0721-24-5200","大阪府富田林市旭ケ丘町１４－５",""
"久保歯科医院","歯科、歯科口腔外科、小児歯科"," 072-962-7076","大阪府東大阪市花園本町２丁目３－４",""
"太田歯科","歯科"," 06-6857-6480","大阪府豊中市千里園２丁目２－９",""
"西川歯科医院","歯科、小児歯科"," 0721-52-2202","大阪府河内長野市西之山町４－８",""
"堀内歯科医院","矯正歯科、歯科、小児歯科"," 072-265-3460","大阪府堺市西区鳳西町１丁７５－２－２","https://www.horiuchi-sika-clinic.com/"
"なかみち歯科クリニック","矯正歯科、歯科、小児歯科"," 072-476-5388","大阪府阪南市箱作３５０１－６",""
"医療法人伸明会夕日丘デンタルクリニック","歯科"," 06-6857-8148","大阪府豊中市夕日丘２丁目１７－１７－１Ｆ","https://www.yuuhigaoka-dental-clinic.com/"
"大西歯科医院","歯科"," 072-673-7212","大阪府高槻市庄所町８－３６",""
"岸本歯科医院","歯科、小児歯科"," 072-675-6936","大阪府高槻市藤の里町１９－６",""
"水野歯科","歯科、歯科口腔外科","(F兼) 072-841-5770","大阪府枚方市岡東町４－１０",""
"野瀬歯科","歯科、小児歯科"," 0120-648849","大阪府大阪市東住吉区湯里６丁目２－２３－１０５",""
"西村歯科心斎橋インプラントセンター","歯科、歯科口腔外科"," 0120-794618","大阪府大阪市中央区心斎橋筋１丁目１０－１１",""
"江崎歯科","歯科"," 0120-243386","大阪府大阪市旭区千林２丁目１８－２２",""
"太田歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0120-814806","大阪府大阪市都島区東野田町５丁目９－１２",""
"よしかわ矯正歯科クリニック","矯正歯科"," 0120-463184","大阪府大阪市中央区南船場２丁目１２－５－４Ｆ",""
