"会社名","カテゴリー","電話番号","住所","webサイト"
"大髙酵素株式会社大阪支店","健康食品卸、健康食品販売"," 0120-398077","大阪府東大阪市長田東４丁目２－４６",
"にこにこ堂","健康食品販売、自然食品販売"," 06-6782-8157","大阪府東大阪市長栄寺１－６－２",
"株式会社倉輝商事","健康食品製造、健康食品販売"," 072-981-3333","大阪府東大阪市箱殿町６－１３",
"大髙酵素株式会社大阪支店","健康食品卸、健康食品販売"," 06-6747-2261","大阪府東大阪市長田東４丁目２－４６",
"あんじゅ","栄養補助食品販売、健康食品販売、自然食品販売"," 06-6785-7225","大阪府東大阪市足代１丁目１２－２８",
"株式会社ユニオンプラス","健康食品製造、健康食品販売"," 06-6745-5000","大阪府東大阪市長田東３丁目５－１９－２０３",
"ファーストコーポレーション株式会社","健康食品販売、自然食品販売"," 072-986-1518","大阪府東大阪市鳥居町１－６",
"青花食研株式会社","健康食品製造、自然食品製造、自然食品販売"," 06-6722-0919","大阪府東大阪市菱屋西４丁目１－１９",
"株式会社日本医食研究所","健康食品販売"," 072-986-7077","大阪府東大阪市横小路町４丁目５－３０",
"クリクラ東大阪","健康食品販売、自然食品販売、自動販売機レンタル・リース、清涼飲料卸、清涼飲料水、ミネラルウォーター卸"," (F専) 0120-965995","大阪府東大阪市楠根２丁目６－３０",
"藤田珈琲株式会社","食品加工卸","(代) 06-6783-6622","大阪府東大阪市高井田西３丁目６－１５",
"ココグローブ","インターネット通販、健康食品販売、自然食品販売、通信販売"," 06-6782-4350","大阪府東大阪市高井田西１丁目５－３",
"福田漢方薬局","栄養補助食品販売、漢方薬店、健康食品販売、薬店、薬局"," 072-965-3800","大阪府東大阪市瓜生堂１丁目３－１３",
"守田化学工業株式会社","食品添加物"," 06-6744-8877","大阪府東大阪市稲田上町１丁目１９－１７",
"株式会社味のちぬや関西支店大阪営業所","冷凍食品"," 06-4309-9901","大阪府東大阪市長田西６丁目２－２８",
"株式会社三嶋フーズ","食品加工卸"," 06-6745-3422","大阪府東大阪市長田東３丁目３－４５","http://www.mishimafoods.com"
"食工房のだ屋","食品加工卸"," 072-875-7511","大阪府東大阪市加納５丁目１５－１１",
"クリクラ荒本","健康食品販売、ミネラルウォーター販売"," 0120-178823","大阪府東大阪市長田３丁目６－１３",
"株式会社秀宝","食品加工卸"," 0120-299750","大阪府東大阪市今米２丁目５－３５",
"エバメディカルプログラム","化粧品販売、健康食品販売"," 0120-829819","大阪府東大阪市足代１丁目２－２",
"藤田珈琲株式会社／お客様相談室","食品加工卸"," 0120-422407","大阪府東大阪市高井田西３丁目６－１５",
"株式会社フーズワン","食品加工卸","(代) 06-6781-3410","大阪府東大阪市高井田西５丁目４－３１",
"イニシオフーズ株式会社東大阪工場","食品工業","(代) 06-6781-0841","大阪府東大阪市高井田中２丁目４－７",
"株式会社なとり／大阪営業所","食品工業","(代) 072-965-6090","大阪府東大阪市本庄中１丁目１－３３",
"ハウス食品株式会社／大阪本社","香辛料、レトルト食品","(代) 06-6788-1231","大阪府東大阪市御厨栄町１丁目５－７",
"有限会社アスリート","食品添加物","(代) 072-967-7345","大阪府東大阪市水走５丁目４－３２",
"株式会社大和川食産","食品加工卸","(代) 072-964-0033","大阪府東大阪市水走４丁目８－４",
"ハウス食品株式会社／大阪本社","香辛料、食品工業、レトルト食品","(代) 06-6788-1231","大阪府東大阪市御厨栄町１丁目５－７",
"有限会社さか元","冷凍食品","(代) 06-6721-2988","大阪府東大阪市友井２丁目２１－３８",
"株式会社ポオトデリカトオカツ東大阪工場","食品工業","(代) 072-960-1222","大阪府東大阪市東鴻池町３丁目２",
"メガネスーパー布施店","栄養補助食品販売、化粧品販売、健康食品販売、補聴器、めがね店"," 06-6720-2670","大阪府東大阪市足代２丁目５－１９",
"パシフィック薬品株式会社","健康食品製造"," 06-6748-9051","大阪府東大阪市長田東２丁目４－１",
"森商会","食品添加物"," 06-6725-7740","大阪府東大阪市若江本町２丁目６－４",
"株式会社オーケーパッキングサービス","食品工業"," 06-6743-3055","大阪府東大阪市本庄中２丁目４－２０",
"合田保健薬局","漢方薬店、漢方薬・薬草、健康食品販売、薬局"," 06-6728-9365","大阪府東大阪市荒川２丁目２６－１４",
"株式会社秀宝","食品加工卸"," 072-960-2884","大阪府東大阪市今米２丁目５－３５",
"株式会社ニッチン","海産物、食品加工卸"," 072-874-8955","大阪府東大阪市加納５丁目９－３",
"まるかんのお店花園店","化粧品販売、健康食品販売"," 072-943-4919","大阪府東大阪市花園本町１丁目６－１１",
"太田商店","食品工業"," 072-982-2958","大阪府東大阪市日下町６丁目１０－３６",
"花まる亭ポテト工房","食品加工卸、惣菜"," 072-988-1729","大阪府東大阪市神田町１３－９",
"辻紅本店","食品添加物"," 072-981-2434","大阪府東大阪市中石切町１丁目２－２１",
"株式会社岡勢","食品加工卸"," 06-6789-8711","大阪府東大阪市長田中１丁目５－３０",
"株式会社生パスタ工房","食品加工卸、食料品製造"," 06-6788-1780","大阪府東大阪市川俣１丁目１１－４４",
"小畑薬店","漢方薬・薬草、化粧品販売、健康食品販売、薬店"," 072-982-1441","大阪府東大阪市瓢箪山町１－１７",
"有限会社共栄","食品加工卸"," 06-6748-2549","大阪府東大阪市新庄西７－８",
"サンビュヘルシーモア","化粧品販売、健康食品販売"," 072-965-6753","大阪府東大阪市岩田町６丁目５－４７",
"有限会社内畿通商","健康食品卸、自然食品卸、食品加工卸、日用品雑貨卸"," 06-4306-5715","大阪府東大阪市西岩田２丁目２－１５",
"日本食研株式会社東大阪支店","食品工業"," 06-4308-3301","大阪府東大阪市川俣１丁目８－２５",
"太陽堂製薬株式会社大阪営業所","置き薬、漢方薬・薬草、健康食品販売"," 072-966-9985","大阪府東大阪市中新開１丁目６－１６",
"田代珈琲株式会社","喫茶材料","(代) 06-6723-3701","大阪府東大阪市永和１丁目２５－１１",
"株式会社菊太屋","米卸"," 06-6744-1111","大阪府東大阪市長田西６丁目１－１",
"株式会社カワウチ","食料品卸"," 072-966-5958","大阪府東大阪市菱江１丁目１０－４２","http://www.kawauchifoods.jp"
"元井珈琲","喫茶材料"," 072-986-2120","大阪府東大阪市神田町３－５",
"桑村漆器店","漆、化粧品販売、健康食品販売、漆器卸、漆器店"," 072-986-2112","大阪府東大阪市昭和町４－１５",
"株式会社信貴山養蜂園","はちみつ"," 06-6721-4392","大阪府東大阪市若江東町４丁目３－１",
"株式会社西塚商店","業務用食料品、食料品卸"," 06-6746-3851","大阪府東大阪市楠根１丁目５－１２",
"株式会社ティーアイ","食肉卸"," 06-6743-3000","大阪府東大阪市本庄西３丁目９－８",
"株式会社トクラ","食料品卸"," 06-6725-2441","大阪府東大阪市若江西新町１丁目２－３３",
"株式会社ホーライ","油脂製品"," 0120-281318","大阪府東大阪市寺前町１丁目９－１２",
"株式会社ティーアイ","食肉卸"," 0800-1001129","大阪府東大阪市本庄西３丁目９－８",
"ＪＲＳコーポレーション","塩卸、塩・製塩、塩販売"," 0120-829371","大阪府東大阪市下六万寺町３丁目８－６１",
"株式会社ナコム","食料品卸","(代) 072-870-5305","大阪府東大阪市加納５丁目２－８",
"株式会社アドバンス","食料品卸","(代) 06-6720-6681","大阪府東大阪市渋川町３丁目１４－２８",
"有限会社万惣","食料品卸","(代) 072-961-8868","大阪府東大阪市中新開２丁目１３－２３",
"株式会社タムラギ","落花生","(代) 06-6723-5585","大阪府東大阪市若江東町４丁目１－１０",
"サカエ屋サンミート","食肉卸","(代) 072-964-2929","大阪府東大阪市岩田町６丁目４－５０",
"エンド商事株式会社東大阪店","食料品卸","(代) 072-960-5500","大阪府東大阪市中野１丁目１－２",
"株式会社モトックス","酒類卸","(代) 06-6723-3131","大阪府東大阪市小阪本町１丁目６－２０",
"株式会社コモ大阪営業所","パン製造・卸"," (代) 06-6748-1603","大阪府東大阪市長田東２丁目２－３－２０１",
"株式会社竹内商店","酒類卸","(代) 06-6722-2323","大阪府東大阪市衣摺２丁目３－１",
"株式会社折目","菓子卸","(代) 06-6729-2004","大阪府東大阪市大蓮北４丁目１－４１",
"株式会社なとり／大阪営業所","食料品卸","(代) 072-964-0040","大阪府東大阪市本庄中１丁目１－３３",
"琉球酒販株式会社","酒卸、酒類卸","(代) 06-6747-0880","大阪府東大阪市新庄西６－７",
"近畿日東フーズ株式会社","食料品卸","(代) 072-961-1055","大阪府東大阪市中新開１丁目５－２２",
"山口商店","青果物卸","(代) 072-963-7714","大阪府東大阪市本庄中１丁目１－４６",
"株式会社ウエノ","食料品卸","(代) 06-6782-8371","大阪府東大阪市新家１丁目７－６",
"株式会社ケイ・アール・エス","牛肉卸、食肉卸"," 06-6743-2900","大阪府東大阪市楠根１丁目９－３８",
"有限会社協配フーズ","食料品卸"," 06-6748-2447","大阪府東大阪市新庄西７－８",
"福永製飴所","飴卸、飴製造、菓子材料、砂糖、水飴卸、水飴製造"," 06-6721-5519","大阪府東大阪市岸田堂南町３－２",
"有限会社シーシーフーズ","食品貿易"," 06-6787-0175","大阪府東大阪市川俣２丁目６－６３－２０４",
"株式会社国貞商店","食料品卸"," 072-980-5158","大阪府東大阪市日下町７丁目１－５６",
"株式会社松屋","パン卸、パン製造、パン製造・卸"," 06-6721-7174","大阪府東大阪市岸田堂南町９－１０",
"株式会社平井商店","穀物商"," 06-6729-1731","大阪府東大阪市三ノ瀬１丁目２－３０",
"マツシタＭコーヒー","喫茶材料"," 06-6783-5902","大阪府東大阪市足代北１丁目９－１７",
"ビクトリアコーヒー","喫茶材料"," 072-984-0417","大阪府東大阪市瓢箪山町２－１１",
"セルフのフルセ東大阪店","菓子卸"," 06-6721-1203","大阪府東大阪市若江西新町３丁目２－９",
"株式会社ワクタ","牛乳、牛乳卸、乳酸飲料、ミネラルウォーター卸"," 06-6744-8855","大阪府東大阪市稲田本町２丁目４－２０",
"株式会社マルマフーズ","食料品卸"," 072-983-7255","大阪府東大阪市横小路町６丁目８４４",
"丸大フード株式会社ＭＦ東大阪営業所","食料品卸"," 072-983-7734","大阪府東大阪市新町１８－２３",
"株式会社グローリージャパン","菓子卸"," 06-6724-0261","大阪府東大阪市若江西新町３丁目２－９",
"木村屋パン","パン製造・卸"," 06-6728-7522","大阪府東大阪市柏田西２丁目１３－１５",
"広栄株式会社","食料品卸"," 072-966-2208","大阪府東大阪市菱江３丁目７－１４",
"株式会社シー・エフ・サプライ","食料品卸"," 06-6748-8820","大阪府東大阪市長田東２丁目３－２９",
"カブンス","喫茶材料"," 06-6724-6149","大阪府東大阪市南上小阪１１－２８",
"株式会社誠商会","菓子卸"," 06-6748-3838","大阪府東大阪市本庄中２丁目１－２",
"飯尾産業株式会社","食料品卸"," 072-964-1103","大阪府東大阪市中新開２丁目５－２１",
"ラッキー商会","アイスクリーム卸、食料品卸"," 06-6729-7321","大阪府東大阪市大蓮北３丁目１３－２３",
"有限会社肉の和加工センター","牛肉卸、食肉卸、食肉加工、鳥肉卸"," 072-960-4129","大阪府東大阪市新鴻池町１－２３",
"ＪＲＳコーポレーション","塩卸、塩・製塩、塩販売"," 072-982-9371","大阪府東大阪市下六万寺町３丁目８－６１",
"株式会社誠商会","菓子卸"," 072-960-2525","大阪府東大阪市新庄４－１１－２０",
"木村屋パン","パン製造・卸"," 06-6721-4602","大阪府東大阪市柏田西２丁目１３－１５",
"有限会社伊藤茶園","茶卸、茶製造"," 06-6722-8893","大阪府東大阪市友井１丁目４－１４",
"有限会社森本","食料品卸"," 072-980-8050","大阪府東大阪市下六万寺町１丁目４－４",
"カワグチ菓子問屋","菓子卸"," 072-962-3956","大阪府東大阪市花園西町１丁目１１－２０",
"株式会社コスモス薬品／ディスカウントドラッグコスモス鴻池徳庵店","栄養補助食品販売、漢方薬店、化粧品販売、健康食品販売、酒店、自然食品販売、食料品店、たばこ、日用品雑貨店、文具・事務用品店、ペットフード販売、薬店"," 06-6748-9977","大阪府東大阪市鴻池徳庵町３－１１",
"株式会社コスモス薬品／ディスカウントドラッグコスモス稲葉店","栄養補助食品販売、漢方薬店、化粧品販売、健康食品販売、酒店、自然食品販売、食料品店、たばこ、日用品雑貨店、文具・事務用品店、ペットフード販売、薬店"," 072-960-3588","大阪府東大阪市稲葉３丁目１－１９",
"前田製菓","飴卸、飴菓子店、飴製造"," 06-6781-0994","大阪府東大阪市御厨栄町３丁目４－１３",
"有限会社ナチュラルビズ","青果物卸"," 06-4307-1700","大阪府東大阪市若江南町３丁目２－１８",
"株式会社アクティブ","食料品卸"," 072-962-8329","大阪府東大阪市新庄４丁目４－１９",
"株式会社イズミック大阪支店","酒類卸、食料品卸"," 06-6782-1567","大阪府東大阪市高井田中２丁目１－２３",
"株式会社イズミック大阪支店","酒卸、食料品卸"," 06-6782-1553","大阪府東大阪市高井田中２丁目１－２３",
"ウメダ商事株式会社","米卸"," 06-6784-6191","大阪府東大阪市足代北２丁目１－１３－１００７",
"星トンボソース","ソース"," 06-6728-0787","大阪府東大阪市渋川町３丁目２－１",
"有限会社名阪グリーンサービス","生花市場、鳥獣害防止"," 072-982-2102","大阪府東大阪市東山町１０－２３",
"Ｓ‐トレイズ株式会社","食品貿易"," 06-4306-5334","大阪府東大阪市長田東３丁目５－１９－３０１",
"クリクラ東大阪","自動販売機レンタル・リース、清涼飲料卸、清涼飲料水、ミネラルウォーター卸"," 0120-776373","大阪府東大阪市楠根２丁目６－３０",
"株式会社マルエー食糧東大阪営業所","米店、食料品卸","(代) 06-6746-1100","大阪府東大阪市本庄西１丁目１０－１１",
"ユニフィラージャパン（ＵｎｉｆｉｌｌｅｒＪａｐａｎ）株式会社","食品加工用機械"," 072-943-3418","大阪府東大阪市横枕南２－４",
"ヤスナガコーヒ株式会社","インターネット通販、喫茶材料、コーヒー専門店、コーヒー豆店、コーヒー豆焙煎業、コーヒー豆販売"," 06-6783-2550","大阪府東大阪市森河内西１丁目１３－２４","http://www.amai-cafe.net/"
"株式会社栄大號","製麺業、そば卸、そば製造、中華めん卸、中華めん製造、中華料理材料、中華料理材料卸、手打ちめん製造、麺類小売"," 06-6721-6006","大阪府東大阪市衣摺１丁目１０－８","http://www.eitaigo.com/"
"雄工精機株式会社","食品加工用機械"," 06-4307-6566","大阪府東大阪市荒本北１丁目４－１－２１０８","http://www.yuko-seiki.jp/"
"株式会社トンソン・ジャパン","食料品卸、贈答品店","(代) 06-6785-7610","大阪府東大阪市高井田西６丁目１－１９",
"株式会社五色堂","菓子製造"," 06-6728-5775","大阪府東大阪市大蓮南２丁目１２－３",
"株式会社ワクタ／宅配チーム","牛乳、牛乳卸、ミネラルウォーター卸"," 0120-369551","大阪府東大阪市稲田本町２丁目４－２０",
"株式会社丸三","米卸、精米業","(代) 06-6727-8631","大阪府東大阪市渋川町２丁目４－３８",
"株式会社山城物産","茶卸、茶製造、茶販売店","(代) 06-6746-8701","大阪府東大阪市長田中５丁目３－１１",
"イトウ製菓株式会社","菓子製造","(代) 06-6746-1403","大阪府東大阪市長田東５丁目２－１０",
"東大阪マルタマフーズ株式会社","給食調理サービス、給食用食品、弁当仕出し","(代) 06-6724-4597","大阪府東大阪市若江南町２丁目９－１６",
"ジャンボフーズ株式会社","食肉加工","(代) 06-6747-1050","大阪府東大阪市新庄南６－２７",
"株式会社大海","業務用食料品","(代) 06-6744-2131","大阪府東大阪市長田中５丁目３－４",
"理研農産化工株式会社","食用油脂製品、製粉業","(代) 06-6746-4771","大阪府東大阪市長田東４丁目２－２９",
"株式会社万代渋川畜産プロセスセンター","食肉加工","(代) 06-6720-1200","大阪府東大阪市渋川町３丁目１２－２５",
"株式会社播彦／本社","菓子製造、菓子店、せんべい卸、せんべい製造、せんべい店、和菓子製造、和菓子店"," 06-6748-5055","大阪府東大阪市三島３丁目１－１２",
"メルクロス株式会社大阪配送センター","砂糖"," 072-929-8600","大阪府東大阪市水走５丁目２－１",
"ウエコウ","食料品店"," 06-6726-8038","大阪府東大阪市吉松２丁目１－６",
"株式会社山田製菓","菓子製造"," 06-4306-5109","大阪府東大阪市高井田中４丁目３－２４",
"株式会社天満屋","業務用食料品卸、食料品卸、つくだ煮"," 06-6730-6075","大阪府東大阪市柏田西３丁目９－３５",
"株式会社リリー","菓子製造"," 06-6727-3434","大阪府東大阪市衣摺１丁目９－５",
"株式会社古市庵","業務用食料品"," 06-6781-9484","大阪府東大阪市長堂１丁目１－１",
"明治牛乳／岩田販売所","アイスクリーム卸、牛乳、牛乳卸、牛乳店、清涼飲料水、乳酸飲料、乳製品"," 072-961-4480","大阪府東大阪市瓜生堂１丁目５－３０",
"鳥弘商店","鳥肉、鳥肉卸、鳥肉店"," 06-6787-5367","大阪府東大阪市御厨栄町１丁目６－３５",
"マンマダイニング","食材宅配サービス"," 06-6618-3200","大阪府東大阪市西堤本通東３丁目４－１８",
"有限会社マルユウ製菓","菓子製造"," 072-987-2478","大阪府東大阪市池島町８丁目６－３１",
"東亜油研株式会社","油脂製品"," 072-966-2461","大阪府東大阪市角田１丁目４－３０",
"不二商物流株式会社玉串工場","業務用食料品"," 072-962-8172","大阪府東大阪市玉串町東２丁目２－１５",
"岡功","菓子製造"," 06-6781-2160","大阪府東大阪市御厨４丁目６－２５",
"畑製菓株式会社","菓子製造"," 06-6721-0200","大阪府東大阪市永和１丁目２０－７",
"株式会社ジャパンフーヅ","業務用食料品"," 06-6744-5271","大阪府東大阪市鴻池徳庵町６－３９",
"菱屋有限会社","商社、食品貿易、繊維貿易"," 072-965-2080","大阪府東大阪市川田２丁目５－１９",
"ジャック製菓株式会社","菓子製造"," 06-6721-5153","大阪府東大阪市永和３丁目１－２６",
"バラエティストアーひがしの","食料品店"," 06-6782-6431","大阪府東大阪市西堤西１－２５",
"フードすぎもと","食料品店"," 06-6721-3835","大阪府東大阪市金岡２丁目１６－７",
"山本兼株式会社","製粉業"," 06-6727-6108","大阪府東大阪市渋川町２丁目４－３８",
"味彩家株式会社","食料品店"," 072-984-1511","大阪府東大阪市布市町４丁目６－９",
"株式会社丸福","調味料、調味料製造"," 06-6727-3850","大阪府東大阪市若江東町１丁目１－５９",
"有限会社島田一心堂","茶卸、茶卸・販売、茶製造、茶販売店"," 06-6618-0789","大阪府東大阪市高井田西２丁目１－５",
"サンプラザ布施店","業務用食料品"," 06-6784-3371","大阪府東大阪市足代北１丁目５－３",
"株式会社テムスヒラハラ","食品加工用機械"," 072-962-0597","大阪府東大阪市今米２丁目８－１７",
"イケダヤ製菓株式会社大阪営業所","菓子製造"," 06-6727-9192","大阪府東大阪市中小阪５丁目７－１５",
"友光商事株式会社加納工場","油脂製品"," 072-965-2912","大阪府東大阪市加納４丁目１０－３０",
"中井油店","食用油脂製品"," 06-6745-0808","大阪府東大阪市稲田本町３丁目１４－２",
"東大阪ヴィクトリ製菓","菓子製造"," 06-6728-0315","大阪府東大阪市大蓮南１丁目１０－１０",
"株式会社シャノワール","洋菓子製造"," 06-6743-5800","大阪府東大阪市稲田新町３丁目８－４２",
"株式会社近商ストア／俊徳道店","食料品店、スーパーマーケット"," 06-6720-8011","大阪府東大阪市荒川３丁目２９－１９",
"エッチ・オー・ビーサービス株式会社","運送、生鮮食品運送、保冷運送、保冷・冷凍運送、冷凍運送"," 072-965-8236","大阪府東大阪市加納４丁目７－９","http://hob-service.co.jp/"
"シャ・ノワール東大阪店","菓子店、ケーキショップ、洋菓子製造、洋菓子店"," 06-6618-9000","大阪府東大阪市川俣３丁目１－１",
"大川鉄工所","機械修理、食品加工用機械、中古機械買取、中古機械販売"," 06-6729-1258","大阪府東大阪市荒川３丁目３－３０",
"餃子専門店としや","飲食店、餃子店、中華料理店、中華レストラン、みやげ品、みやげ品店、冷凍食品"," 072-980-1048","大阪府東大阪市善根寺町４丁目３－４５",
"肉のいざなぎサンディ瓜生堂店","食肉加工、食肉店"," 06-6722-1229","大阪府東大阪市瓜生堂２丁目７－７","http://realize-2007.com/"
"ライフ太平寺店","食料品店、スーパーマーケット、薬店","(代) 06-6720-0300","大阪府東大阪市太平寺２丁目１０－１９",
"株式会社中部コーポレーション大阪営業所フード機器事業部","食品加工用機械、厨房用機械器具","(代) 06-6788-2251","大阪府東大阪市西堤本通東１丁目１－１－９０３",
"株式会社ホーライ","自動車部品・用品製造、油脂製品","(代) 06-6728-1318","大阪府東大阪市寺前町１丁目９－１２",
"九里田純白株式会社","豆腐、豆腐製造","(代) 072-988-3511","大阪府東大阪市布市町４丁目６－９",
"乾商事株式会社","医薬品卸、油脂製品","(代) 06-6788-0020","大阪府東大阪市高井田本通５丁目１－７",
"シュクレ／長瀬本店","菓子店、ケーキショップ、洋菓子製造、洋菓子店"," 06-6725-8824","大阪府東大阪市菱屋西１丁目１２－２４－２０５",
"菓子房きぬた","菓子製造、ケーキショップ、洋菓子店"," 06-6785-7763","大阪府東大阪市小阪本町２丁目１１－２",
"ｄｏ―ｍｏ","カフェ、ドーナツショップ、洋菓子製造、洋菓子店"," 072-940-6709","大阪府東大阪市花園東町１丁目４－９",
"株式会社和光ケミカル大阪南営業所","化学工業、化学製品、潤滑油、油脂製品"," 06-6746-3131","大阪府東大阪市長田東４丁目６－１",
"株式会社福寿園近鉄東大阪店","茶製造、茶販売店、緑茶製造"," 06-6785-3008","大阪府東大阪市長堂１丁目１－１",
"シュクレ／瓢箪山店","ケーキショップ、洋菓子製造、洋菓子店"," 072-987-7087","大阪府東大阪市昭和町４－１",
"株式会社マルキチ","業務用食料品、食用油脂製品、石けん・洗剤"," 06-6745-4400","大阪府東大阪市本庄西３丁目８－１８",
"鳥しげ","鳥肉、鳥肉加工"," 06-6785-0909","大阪府東大阪市長堂１丁目１９－５",
"ＩＲＯＲＩＣＯＦＦＥＥＲＯＡＳＴＥＲ","カフェ、喫茶店、コーヒー専門店、コーヒー豆焙煎業"," 06-6753-8050","大阪府東大阪市小阪１丁目２－１１",
"瓢箪山焙煎所","コーヒー専門店、コーヒー豆焙煎業"," 072-987-7878","大阪府東大阪市喜里川町２－１９",
"大阪化合株式会社本社","機械油卸、潤滑油、潤滑油卸、油脂製品、油脂製品卸"," 072-963-1835","大阪府東大阪市川田４丁目６－１４","https://www.osakakago.com/"
"イカリ消毒株式会社大阪営業所","衛生消毒材料、衛生消毒材料製造、環境測定分析、環境保全装置・資材、消毒業、食品衛生、白あり駆除業"," 06-6785-6611","大阪府東大阪市長田中１丁目５－１３","http://www.ikari.co.jp"
"天龍製鋸株式会社／大阪支店","機械工具商、金属切削加工用機械、食品加工用機械、刃物製造・卸、木工用機械器具","(代) 072-966-7001","大阪府東大阪市川中３－３５",
"有限会社リカーワールドガリバー","米店、酒店、焼酎店、食料品店、日本酒店、ミネラルウォーター販売、洋酒店、ワイン店"," 072-960-3033","大阪府東大阪市川中２－１９",
"今西酒店","コンビニエンスストア、酒店、食料品店、たばこ店"," 072-961-6195","大阪府東大阪市菱江１丁目２－３６",
